"","SKA03_16","SKA03_19","SKA03_20","SKA03_27","SKA03_28","SKA03_29","SKA03_36","SKA03_38","SKA03_39","SKA03_41","SKA03_43","SKA03_45","SKA03_46","SKA03_48","SKA03_49","SKA03_56","SKA03_58","SKA03_59"
"UAP1",1313,1570,2265,1708,566,534,1613,1633,1677,1505,1479,1762,1873,1758,1900,1680,1901,1738
"DDR2",41,64,60,144,39,58,102,76,103,88,118,80,176,142,142,70,58,48
"HSD17B7",232,187,245,314,192,203,1188,1327,1207,174,206,178,376,390,325,1823,1761,1761
"CCDC190",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RGS4",2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"RGS5",35,19,43,86,30,38,64,67,77,36,31,31,46,86,23,100,118,96
"RGS5-AS1",0,0,0,2,0,0,4,0,0,0,2,0,0,3,2,0,0,0
"LOC100113374",0,0,2,6,4,0,1,0,0,0,0,0,4,0,0,0,0,0
"NUF2",797,490,953,994,515,588,881,874,892,774,703,756,987,837,831,897,935,911
"LOC100422212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NMNAT1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBX1",451,406,486,1541,419,370,1532,1800,2007,474,615,557,1052,922,884,2484,2788,2858
"PBX1-AS1",0,0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPL35AP7",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"LOC107985452",76,34,50,34,78,100,73,123,68,34,26,23,50,58,52,190,152,187
"LMX1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LMX1A-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
