"","SKA03_16","SKA03_19","SKA03_20","SKA03_27","SKA03_28","SKA03_29","SKA03_36","SKA03_38","SKA03_39","SKA03_41","SKA03_43","SKA03_45","SKA03_46","SKA03_48","SKA03_49","SKA03_56","SKA03_58","SKA03_59"
"MIR1293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107984505",13,11,14,21,20,8,14,6,18,2,10,2,15,12,8,14,21,10
"FAM186A",0,2,2,10,2,10,2,0,8,0,2,0,0,1,0,0,0,0
"RPL26P33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARP4",3904,3825,5911,9703,1711,1946,5847,5523,5328,4268,4961,5671,6859,6146,7302,4463,5037,3862
"SNORD133",70,16,18,62,24,21,14,8,12,14,47,0,66,25,26,16,9,4
"DIP2B",2677,2848,4239,8173,1212,1214,4041,3970,3971,3432,5002,5805,5182,4232,5219,3618,4518,3439
"RNU6-238P",7,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"ATF1",1230,1456,2074,1919,478,568,1444,1455,1429,1460,1471,1377,1591,1613,1517,1763,1763,1594
"TMPRSS12",0,0,0,1,0,0,0,3,4,0,0,0,0,0,2,2,0,0
"METTL7A",272,125,129,274,282,175,632,939,1165,175,171,163,302,241,264,2284,2407,3392
"HIGD1C",4,1,0,17,2,5,2,0,6,0,0,2,3,2,3,0,0,0
"SLC11A2",760,859,1076,1932,410,458,1829,2063,2020,1032,1140,1169,1527,1644,1631,2819,3075,3181
"LETMD1",1231,1011,1285,1370,688,809,1054,1106,1130,1115,1117,1097,1114,1147,1023,1920,2144,2451
"CSRNP2",668,792,1087,1204,329,363,793,678,671,714,718,817,724,625,784,500,469,446
"TFCP2",1090,1226,1881,2940,941,892,1977,2025,1971,1550,1717,1769,2566,2508,2523,2004,2390,2128
"PHBP19",34,2,11,38,35,33,2,0,3,0,2,2,14,8,2,0,1,7
"POU6F1",46,36,48,46,20,29,58,66,75,64,20,48,64,44,50,40,46,64
"DAZAP2",5456,6793,8216,7993,2300,2635,7584,8267,8395,7430,7978,8596,8312,7944,8009,11117,10508,10985
"SMAGP",1082,850,1068,813,493,550,618,494,607,753,663,653,742,740,773,673,641,832
"LOC102723983",75,48,81,40,73,62,44,66,98,75,42,42,72,62,59,75,108,101
"BIN2",0,4,8,7,4,0,0,2,0,2,0,16,8,0,2,10,0,2
"LOC105369767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GALNT6",4347,1839,3660,3465,2940,2484,3817,3896,4295,1995,1979,2270,3063,2835,2626,4708,5177,4692
"SLC4A8",80,127,148,286,87,54,573,633,549,128,138,114,174,157,193,711,802,674
"LOC107984508",3,4,1,13,10,2,4,2,0,0,0,0,12,0,4,2,6,0
"LOC105369768",0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,2,0,0
"SCN8A",189,162,407,801,176,127,413,404,393,242,304,331,457,307,411,422,561,421
"HNRNPA3P10",2,1,14,4,0,2,0,8,4,0,4,1,6,6,10,10,10,5
"FIGNL2",5,2,4,4,4,8,24,10,40,0,1,8,2,2,0,60,36,63
"FIGNL2-DT",0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,0,3
"ANKRD33",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"LOC102724178",0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
"ACVRL1",0,0,8,0,2,4,4,8,4,0,2,2,0,0,0,4,2,0
"ACVR1B",2962,3982,5004,7168,1394,1451,5635,6580,6716,4351,5290,5330,5485,5747,5555,8380,9881,9547
"TAMALIN-AS1",0,2,1,0,2,0,8,1,4,0,2,0,0,4,0,3,6,7
"TAMALIN",24,8,28,30,16,10,14,8,14,15,12,8,7,8,6,16,37,35
"NR4A1",1226,956,1715,948,332,384,356,313,345,996,893,1228,733,571,643,252,213,228
"LOC107984510",6,4,1,6,4,8,2,4,0,0,0,2,4,2,0,0,2,0
"ATG101",6423,4972,7712,3830,4099,3853,3326,2824,2708,5041,3423,3414,4367,4127,3601,3564,3062,2925
"SMIM41",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR7E47P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC112268096",0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0
"LOC105369771",0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0
"KRT80",481,444,896,1098,180,172,348,301,287,482,518,778,818,557,518,111,37,39
"LINC02874",0,0,0,4,0,0,0,0,0,5,1,0,0,0,0,0,0,0
"LINC00592",13,6,1,4,6,0,0,2,0,0,1,1,7,0,2,0,0,0
"METTL7AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"KRT7",85,32,81,33,18,35,19,22,9,36,37,32,33,30,24,6,0,9
"KRT7-AS",0,2,6,0,0,2,1,0,2,0,0,2,0,0,0,6,0,0
"KRT87P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT86",50,34,77,36,22,18,13,15,20,43,45,57,38,27,28,2,14,4
"KRT81",102,98,180,124,52,64,12,16,18,138,84,108,102,74,60,6,2,4
"KRT83",28,14,20,4,24,10,14,8,16,40,32,26,34,10,10,8,0,4
"KRT89P",0,0,0,6,1,0,4,0,2,2,0,1,0,0,0,2,0,0
"KRT85",4,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0
"KRT84",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"KRT75",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT6B",86,8,56,8,6,0,0,0,0,2,4,12,2,0,4,0,0,0
"KRT6C",26,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT6A",260,28,269,26,10,2,0,1,0,20,46,24,8,2,12,0,0,0
"KRT5",212,0,212,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0
"KRT71",14,7,12,16,14,12,8,14,10,4,2,20,16,10,18,4,0,4
"KRT74",0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"KRT72",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT73",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT73-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105369772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT2",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"KRT1",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC400036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTBD10P1",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
"ARL2BPP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"KRT3",2,0,0,4,0,2,0,0,2,4,0,0,0,2,0,0,0,0
"KRT4",52,59,80,66,12,15,82,128,125,69,56,60,48,40,39,67,107,130
"KRT79",10,4,2,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0
"KRT78",0,6,0,0,2,0,0,0,2,0,4,6,0,0,0,0,0,0
"RPL7P41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT8",358223,321832,468980,293268,198718,187659,319575,301304,305904,336170,268557,294218,313796,296872,278461,374018,301432,288705
"MIR9898",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"KRT18",204731,134832,213891,111546,103606,103221,113050,104624,114268,124478,102264,113622,121903,113755,111716,123489,92385,92121
"EIF4B",14965,14952,21760,26162,7484,7923,17857,18807,19037,15368,15246,15530,19588,18435,17467,22925,25084,25951
"LOC283335",176,141,260,152,225,163,252,303,304,176,94,138,183,173,167,309,396,446
"TNS2",104,58,134,198,92,90,82,100,102,101,94,140,172,124,150,129,182,171
"MIR6757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPRYD3",391,492,587,661,286,252,343,355,401,620,530,490,742,774,691,515,481,480
"IGFBP6",1008,627,1153,616,865,757,742,868,967,803,612,555,753,761,581,1233,1262,1452
"SOAT2",144,181,162,205,94,92,272,337,491,251,185,179,235,263,225,744,744,1024
"VTI1BP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNU6-333P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HIGD1AP1",154,68,150,52,36,26,30,16,34,102,58,30,56,36,50,34,42,40
"EIF4A1P4",8,2,8,0,4,6,2,0,0,0,0,2,0,0,2,2,0,2
"CSAD",52,23,37,130,42,11,48,72,47,26,45,49,65,54,28,32,88,84
"ZNF740",1087,1202,1450,1670,825,771,1539,1681,1699,1291,1288,1343,1515,1299,1248,2314,2411,2526
"ITGB7",0,0,2,3,0,2,0,2,0,5,0,0,0,2,0,0,0,0
"RARG",130,116,142,238,56,42,213,231,261,120,114,125,196,149,146,285,260,270
"MFSD5",882,812,1056,950,510,600,622,642,740,716,800,680,997,981,862,884,908,992
"ESPL1",498,546,855,2343,452,396,1410,1348,1468,844,1030,1119,1963,1786,1824,1456,1462,1214
"PFDN5",4473,2356,3808,1778,2580,2379,1766,1808,1911,2283,1639,1702,1994,2003,1911,2925,2597,2928
"MYG1-AS1",8,3,6,2,10,12,2,2,0,10,0,0,1,5,5,7,4,3
"MYG1",1930,1588,2283,1522,1225,1162,931,845,976,1733,1255,1513,1545,1731,1397,1050,1077,1066
"AAAS",1133,1313,1645,1576,1129,961,914,1098,1012,1591,1260,1286,1529,1721,1707,969,956,1104
"SP7",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0
"SP1",2536,2799,3836,4898,1228,1058,2739,2768,2730,2953,3704,3674,3337,2371,2922,3176,3670,3324
"AMHR2",14,16,4,4,0,4,4,12,8,4,2,10,14,10,0,14,6,18
"PRR13",8140,5630,8632,5380,3473,3928,5425,5391,5463,6814,5584,6183,6816,6601,5980,7194,6864,7678
"PCBP2",18629,19779,26920,21028,8118,8668,16298,15817,17257,21268,20617,22249,21688,20192,20407,20964,20117,21230
"PCBP2-OT1",2,2,3,12,3,1,1,0,2,2,0,0,6,0,3,0,0,0
"MAP3K12",108,103,94,113,79,70,43,69,82,89,63,72,102,80,63,101,87,82
"TARBP2",1053,1101,1322,1226,704,646,912,1018,935,1039,880,917,1158,1203,1082,1083,951,1191
"NPFF",3,0,1,7,5,7,0,0,0,0,0,6,4,1,0,0,4,0
"ATF7-NPFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATF7",379,196,468,538,186,183,337,293,279,319,312,338,337,264,348,317,360,370
"LOC100652999",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RPL31P51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP5MC2",3178,2090,3475,2069,1637,1803,2216,2350,3025,1972,1668,1639,1993,2114,1944,3529,3358,4090
"CALCOCO1",76,27,97,174,54,55,106,81,118,108,99,135,158,144,148,298,258,448
"LOC105369774",4,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0
"CISTR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107984525",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"HOXC13-AS",14,15,8,11,13,4,20,13,20,13,9,18,25,33,36,42,25,20
"HOXC13",166,172,175,147,56,72,126,167,162,103,87,110,141,119,105,200,223,203
"LOC105369775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOXC12",69,61,103,87,22,50,59,74,83,52,111,95,78,65,89,131,197,178
"HOTAIR",4,0,2,2,2,0,1,0,4,0,0,0,0,2,0,8,9,12
"HOXC11",160,158,178,86,56,58,74,76,76,130,110,129,80,74,88,162,182,194
"HOXC-AS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HOXC10",29,32,45,30,16,12,42,36,67,13,27,18,34,31,29,88,46,83
"MIR196A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOXC-AS2",9,11,10,39,2,2,4,5,9,4,11,3,3,6,8,6,4,4
"HOXC-AS1",4,3,11,9,4,2,2,10,2,4,6,1,13,2,1,7,6,9
"HOXC9",34,14,39,40,32,24,6,14,4,6,8,4,27,14,6,10,14,17
"LOC107984512",4,2,12,14,12,10,2,4,8,0,4,0,12,5,14,2,14,4
"HOXC8",390,128,329,190,216,172,106,114,203,68,132,98,114,126,73,224,176,204
"HOXC6",81,41,127,115,50,52,76,119,126,64,65,41,43,40,63,180,209,251
"HOXC5",42,28,58,78,44,19,232,213,238,42,34,42,84,50,32,384,318,292
"HOXC4",22,16,34,49,24,26,13,12,12,20,15,15,51,33,16,19,29,30
"MIR615",0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0
"FLJ12825",0,0,6,0,2,0,2,3,0,0,0,0,0,0,0,0,0,2
"LOC100240735",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
"LOC100240734",0,0,0,0,0,0,12,8,11,0,2,0,0,0,0,14,9,6
"SMUG1",952,775,1057,1110,566,603,1024,1093,1171,926,822,778,1316,1162,1251,1524,1420,1505
"LINC02381",3,2,1,0,6,2,2,2,2,3,2,0,4,0,2,2,4,4
"SMUG1-AS1",5,2,4,4,2,4,0,0,2,0,0,0,2,0,2,0,0,2
"LOC102724030",5,0,0,8,2,0,0,0,0,0,6,0,2,0,0,0,0,2
"LOC105369777",0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0
"CBX5",4001,4172,5890,11148,2637,2481,9137,8201,7661,4112,5574,5240,8429,6038,6370,8298,8316,6805
"MIR3198-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCAT2",28,7,11,10,6,3,2,0,5,0,0,5,12,7,12,2,0,4
"HNRNPA1",51102,51249,79159,56136,27071,27462,45175,45224,46907,57672,52072,52303,60406,61180,56338,51813,60670,55972
"NFE2",24,8,6,34,20,32,38,90,59,10,12,14,22,34,40,148,95,141
"COPZ1",3434,3805,4500,3871,1657,1971,3565,4046,4030,4084,3692,3865,4442,4075,4207,5306,5140,5151
"MIR148B",4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
"LOC102724050",0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"GPR84",2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF385A",258,306,372,560,200,218,690,616,816,262,280,302,332,389,368,1011,901,980
"ITGA5",394,499,646,766,245,218,613,704,755,601,606,571,687,553,575,612,451,449
"GTSF1",4,14,14,16,6,10,8,4,4,14,6,4,8,8,12,2,8,2
"NCKAP1L",0,0,8,0,2,0,0,0,2,2,0,0,0,0,0,4,2,0
"PDE1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP1R1A",4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0
"GLYCAM1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LACRT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VDAC1P5",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"MUCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105369778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TESPA1",2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"LOC107984515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEUROD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101927484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC644383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR9K2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR10A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR6C74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR6C6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR6C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR6C3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR6C75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR6C65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHC1P1",14,26,22,44,6,18,14,32,28,10,54,38,58,20,48,34,16,12
"OR6C76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OR6C2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR6C70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR6C68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR6C4",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"OR2AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR10P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSMB3P1",0,0,0,1,4,2,0,5,0,0,0,0,0,0,2,2,1,1
"METTL7B",1021,1052,1147,1177,743,704,880,1136,1316,1276,1172,1203,1479,1468,1355,2368,2609,3237
"ITGA7",250,230,280,330,200,177,535,584,689,199,241,206,283,297,254,946,979,1067
"BLOC1S1",224,139,313,101,202,179,135,173,183,162,96,102,136,133,115,237,233,245
"BLOC1S1-RDH5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RDH5",3,8,11,17,12,6,4,4,21,28,6,7,8,3,0,22,21,26
"CD63",33429,21009,35299,14078,14325,13818,15414,16306,16606,22966,17291,18188,19490,19485,18088,25492,25908,25415
"LOC105369779",172,113,165,196,149,147,172,93,182,160,126,103,200,181,176,233,198,209
"GDF11",1021,758,1207,1398,881,689,1043,1064,1189,551,573,588,1048,890,964,1240,1298,1180
"SARNP",2422,1655,2818,1431,1321,1170,1681,1791,1618,1844,1392,1439,1611,1766,1543,2175,2078,2045
"ORMDL2",1819,1718,2407,1222,889,830,1164,1143,1225,2091,1630,1859,1737,1650,1615,1576,1491,1378
"DNAJC14",527,941,1283,1786,313,253,1018,994,916,1093,1183,1282,1492,1443,1407,1195,1243,1097
"TMEM198B",33,11,26,59,10,26,36,16,33,25,16,33,22,23,29,58,50,69
"MMP19",20,0,5,18,2,4,6,0,6,16,17,28,18,8,14,6,2,4
"OLA1P3",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"GSTP1P1",10,0,12,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"PYM1",1744,1173,1542,1263,1149,1112,1349,1104,1367,1110,869,917,1417,1246,1240,1672,1502,1694
"DGKA",60,54,80,146,40,22,157,153,208,72,62,120,112,138,97,211,236,288
"PMEL",75,86,100,75,34,38,67,72,106,90,82,92,59,54,86,126,122,95
"CDK2",2199,2714,3557,2862,692,787,2948,3291,3333,3379,3250,3732,2902,2795,2847,3691,3363,3382
"RAB5B",138,284,216,1047,121,61,951,930,1008,441,519,734,800,705,827,1179,1176,1160
"LOC100131294",19,16,16,17,8,19,12,8,4,12,7,3,10,3,4,17,10,8
"SUOX",197,296,278,513,201,168,531,604,786,390,287,306,476,438,395,1059,1148,1137
"IKZF4",220,99,222,343,160,179,173,154,198,136,188,170,227,227,202,160,238,170
"LOC105369781",0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1
"LOC105369780",4,0,3,11,0,2,2,2,1,0,0,4,0,0,2,3,2,2
"RPS26",17874,9153,16431,6090,8099,7981,5781,5628,6132,8640,6423,6279,7481,7275,7170,8342,6863,7752
"ERBB3",424,464,525,1646,432,318,1073,1282,1617,582,869,980,971,1002,846,2495,3156,3662
"LOC105369782",8,8,17,9,2,4,7,6,6,17,12,22,6,9,0,15,9,6
"PA2G4",25758,18314,30511,17152,10639,10680,9338,8987,9233,19421,16471,17562,19440,18784,17968,7681,8025,7506
"RPL41",37923,32591,50709,18629,17723,21207,19380,21743,21237,31844,24381,24326,28252,27906,23047,32051,35006,33838
"ZC3H10",228,286,371,260,143,86,118,120,200,258,234,216,222,252,192,118,210,224
"ESYT1",3624,4900,5785,7881,1859,1842,4062,4086,4269,5707,6250,7021,7559,6910,7200,3844,3631,3329
"LOC107987175",5,2,5,6,2,13,9,7,7,9,4,5,2,14,3,2,2,8
"MYL6B",1138,600,1106,530,707,685,584,756,803,551,370,377,615,607,573,1213,1133,1130
"MYL6",66234,37770,63933,23712,34961,33637,22787,22168,21474,34878,24711,27079,29255,25256,24862,29370,23519,24295
"SMARCC2",2266,1317,2408,3998,2307,1704,2850,2980,3492,2042,2181,2166,3532,3241,3122,3475,3998,3499
"TRS-CGA4-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107984468",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RNF41",1202,1303,1350,1573,586,661,1105,967,1014,1655,1696,1744,1288,1192,1172,1234,1020,1094
"NABP2",2884,2206,3376,2083,1588,1489,1322,1281,1393,2097,1964,1850,2384,2207,2350,2011,1818,1989
"SLC39A5",1027,1332,1481,1056,581,580,652,980,1149,1611,1421,1557,1157,1284,1119,1828,2044,3090
"ANKRD52",3925,3360,5555,8652,3163,2652,3720,3249,3662,3561,4415,4885,6205,4672,5337,3181,3422,2602
"COQ10A",120,134,218,203,100,92,158,114,117,129,110,95,205,124,142,168,168,156
"CS",8907,8871,12784,12580,3594,3592,8619,8734,9409,9841,10584,11381,11443,10476,10689,9877,10398,9736
"CNPY2",5622,3498,5398,2487,2383,2674,2303,2219,2011,3665,2808,2908,3256,3264,3005,3258,2890,2875
"LOC112268098",19,7,12,10,22,20,1,0,1,0,8,0,4,0,6,2,4,1
"PAN2",101,142,190,364,96,131,158,207,225,108,126,174,280,256,206,189,278,272
"IL23A",41,24,22,22,0,12,6,3,4,30,46,36,12,20,14,7,0,10
"STAT2",366,255,365,927,387,320,740,907,918,336,398,402,605,636,624,1200,1301,1227
"APOF",2,2,2,0,2,2,0,4,0,4,0,0,2,2,2,0,0,12
"LOC100128676",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TIMELESS",2183,2582,3357,3378,1285,1253,2937,2985,3079,2480,2626,2744,3099,2655,2752,2951,3256,2843
"MIP",4,8,2,4,4,0,1,0,0,0,0,4,0,2,2,0,0,0
"SPRYD4",598,660,865,710,312,389,647,580,538,747,670,582,759,711,703,834,847,859
"GLS2",23,23,10,68,1,4,27,41,28,25,38,34,35,40,57,35,27,39
"HSPD1P4",15,31,28,16,8,15,32,11,28,28,20,37,24,25,18,12,13,17
"SNORA105C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBMS2",1004,877,1510,1965,514,594,1249,1085,1247,1091,1133,1256,1491,1040,997,1159,929,965
"BAZ2A",3226,1644,3478,5851,2268,1704,4407,3834,4653,1865,2450,2666,3964,2963,3248,4938,5401,4258
"ATP5F1B",28113,34926,42039,32617,12717,14321,26935,29387,30933,37604,33330,34820,35265,36437,34730,37788,38698,38508
"SNORD59B",4,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SNORD59A",2,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0
"PTGES3",15635,15927,22425,15333,6535,7548,12031,13218,13419,17284,14641,15349,17157,18133,17393,13405,15198,14013
"NACA",29547,18518,33956,15455,14310,14587,13214,13001,14485,18874,15760,17142,17978,16891,16200,17924,17646,19864
"PRIM1",1480,1635,2210,1557,608,782,1133,1065,1304,1707,1601,1538,1485,1661,1469,1157,1094,1069
"HSD17B6",63,78,87,47,16,44,12,32,31,55,76,54,59,52,40,14,24,17
"YWHAQP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDR9C7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100420982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RDH16",6,10,14,4,12,12,0,12,10,14,12,8,0,4,12,26,36,24
"LOC390332",0,1,0,3,3,0,0,3,0,0,0,4,0,0,0,8,4,0
"GPR182",0,0,0,0,6,1,0,0,0,0,0,6,0,0,0,0,0,0
"ZBTB39",358,402,436,948,186,146,300,280,326,350,410,428,460,456,540,260,324,266
"TAC3",7,6,10,8,0,0,6,6,6,2,6,14,6,2,6,31,2,16
"MYO1A",492,438,600,534,276,295,182,217,251,696,604,676,713,714,694,911,1063,1485
"NEMP1",963,1034,1415,2899,387,394,2004,2012,2008,1629,2281,2561,2250,2228,2260,1784,2191,1517
"NAB2",880,1227,1402,550,238,228,351,394,386,801,806,841,716,659,674,527,633,556
"STAT6",870,859,1311,1717,708,640,974,962,1118,1004,1093,1211,1687,1567,1751,1553,1535,1476
"LRP1",1659,1130,2148,4531,1505,1169,3055,3175,3726,1571,2228,2580,3403,2889,3162,5236,6946,6397
"LRP1-AS",2,0,3,7,9,4,1,2,7,5,1,1,10,2,4,4,4,3
"MIR1228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NXPH4",94,70,132,160,52,54,178,181,240,86,104,84,136,159,174,344,200,246
"SHMT2",6943,7448,9028,10780,4242,4589,6458,6335,6259,10023,9107,9689,12855,12374,11699,7404,6791,6325
"NDUFA4L2",6,2,8,19,4,4,6,5,2,0,0,1,12,0,10,4,0,0
"STAC3",28,14,26,18,22,12,26,14,2,22,6,4,8,2,16,16,16,6
"R3HDM2",362,261,566,875,272,214,306,243,355,364,369,396,446,369,338,331,478,579
"INHBC",2,1,6,9,1,0,0,0,0,0,2,0,0,0,4,2,0,8
"INHBE",96,244,181,30,26,10,66,32,39,431,383,483,48,69,50,54,20,28
"GLI1",2,0,8,4,14,2,4,2,8,10,2,0,10,4,0,0,0,8
"ARHGAP9",9,20,6,8,8,16,8,12,6,16,6,7,21,13,8,6,10,4
"MARS1",4208,4949,7082,8163,2717,2533,5754,5110,4979,7209,6505,7403,9228,8361,8627,4767,3858,3235
"MIR6758",1,0,1,1,2,0,2,0,0,0,0,1,2,0,0,0,0,0
"DDIT3",1810,1216,1877,560,619,570,464,422,393,1552,1041,1065,376,262,361,369,332,394
"MIR616",4,2,0,4,6,2,3,0,0,2,3,0,1,0,2,0,1,1
"MBD6",771,675,1050,1720,519,493,1259,1145,1387,896,1031,1123,1346,1196,1296,1680,1865,1779
"DCTN2",3701,3365,4916,3531,2366,2326,3327,3017,3146,3693,3350,3447,3745,3581,3442,4251,3796,3958
"KIF5A",8,8,12,13,2,0,5,8,0,4,10,14,6,6,4,8,18,6
"PIP4K2C",1727,2100,2793,2473,620,660,1893,1908,2049,2186,2278,2634,2489,1946,2099,2209,2132,2055
"DTX3",269,228,331,321,150,170,255,307,265,226,274,237,290,284,209,291,302,426
"ARHGEF25",84,90,160,117,78,72,238,232,236,82,70,60,148,90,142,322,292,330
"LOC101927583",0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
