"","SKA03_36","SKA03_38","SKA03_39","SKA03_56","SKA03_58","SKA03_59"
"MIR6084",0,0,0,0,0,0
"PINK1-AS",55,36,45,70,63,58
"DDOST",6573,7333,7296,9589,10576,10212
"KIF17",6,24,19,8,3,12
"SH2D5",147,138,101,102,59,38
"HP1BP3",2795,2796,3065,3056,3576,3091
"EIF4G3",1600,1449,1559,1697,2058,1708
"LOC105376830",0,1,0,3,2,2
"LOC105376829",0,0,2,0,0,0
"MIR1256",0,0,0,0,0,0
"RPS15AP6",0,0,0,2,0,0
"ECE1",3696,3789,4224,4796,4438,4890
"ECE1-AS1",2,0,2,0,2,2
"PPP1R11P1",0,0,0,0,0,0
"LOC100421269",0,0,0,0,0,0
"LOC105376832",0,0,0,0,0,0
"HS6ST1P1",0,2,0,2,4,4
"CROCCP5",0,0,0,0,0,0
"NBPF3",334,273,319,326,349,333
"PFN1P10",0,0,0,1,0,0
"ALPL",0,0,2,0,0,0
"LINC02596",2,0,0,0,0,0
"RAP1GAP",237,217,340,336,337,420
"USP48",1413,1243,1410,1323,1498,1473
"LDLRAD2",3,0,3,4,0,9
"HSPG2",5077,4946,5716,4633,6182,4472
"RPL21P29",0,0,0,0,0,1
"CELA3B",0,0,0,0,0,0
"CELA3A",0,0,0,0,0,0
"LINC01635",2,8,0,2,2,2
"LINC00339",104,138,161,111,139,156
"CDC42-AS1",6,0,0,2,0,0
"CDC42",8829,9196,9340,10392,9536,9308
"MPHOSPH6P1",2,0,0,2,0,0
"WNT4",8,10,12,26,6,4
"LOC105376845",0,0,0,0,6,0
"LOC105376850",0,4,2,0,0,2
"LOC107985377",0,0,0,0,0,0
"MIR4418",0,0,0,0,0,0
"LOC105376856",4,4,0,0,0,0
"ZBTB40",761,766,902,853,1067,893
"EPHA8",2,0,0,2,0,0
"MIR6127",0,0,0,0,0,0
"C1QA",0,0,0,0,0,0
"C1QC",0,4,0,0,0,0
"C1QB",0,0,0,0,0,0
"EPHB2",121,168,205,465,402,420
"MIR4684",0,0,0,0,0,0
"MIR4253",0,0,0,0,0,0
"LACTBL1",0,0,0,0,0,0
"TEX46",0,0,0,8,2,0
"KDM1A",4120,4216,4518,4731,4566,4366
"MIR3115",0,0,0,0,0,0
"LUZP1",1045,1140,1110,1018,1094,927
"HTR1D",41,110,64,154,126,163
"RPL29P6",0,0,0,0,0,0
"LINC01355",0,0,0,0,0,0
"HNRNPR",68,80,64,80,158,90
"ZNF436",0,0,0,0,0,0
"ZNF436-AS1",0,0,0,0,0,0
"TCEA3",29,42,40,50,56,53
"ASAP3",2,0,2,4,4,6
"E2F2",3,3,4,2,3,0
"LOC101928163",0,0,0,0,0,0
"LOC105376859",0,0,0,0,0,0
"ID3",0,0,0,0,0,0
"LOC107984928",0,0,0,0,0,0
"MDS2",0,0,0,0,0,0
"RPL11",22511,22240,22205,28044,27241,27923
"ELOA",1350,1174,1317,1093,1023,1115
"ELOA-AS1",8,8,13,12,4,14
"PITHD1",1069,1006,1061,1218,1088,1169
"LOC105376860",0,1,0,0,1,2
"LYPLA2",1345,1510,1639,2188,2221,2412
"GALE",1460,1487,1585,1710,1793,1891
"HMGCL",791,934,915,1293,1349,1778
"LOC105376861",0,1,0,0,2,2
"FUCA1",776,802,924,1076,1056,1220
"CNR2",0,0,0,0,0,2
"BTBD6P1",0,0,2,0,0,0
"LOC107984929",0,0,0,0,0,0
"MIR378F",0,0,0,0,0,0
"PNRC2",3296,3528,3809,4698,4699,4548
"SRSF10",3553,3650,3609,3880,4179,3515
"LOC105378615",0,0,0,0,0,0
"RPL36P5",0,0,0,0,0,0
"LOC105376863",7,7,4,20,28,32
"LOC107984931",0,0,0,2,0,0
"MYOM3",19,18,22,61,106,150
"MYOM3-AS1",0,0,0,0,0,0
"LOC105376864",0,0,0,0,0,0
