"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SIGIRR",1231.32203166493,0.0367074788004197,0.163065980983184,0.225108134628062,0.821895152863075,0.999857848737763
"ANO9",199.33468047477,0.17885634741956,0.238165587459528,0.750974770651757,0.452667839532933,0.999857848737763
"LOC105376506",4.50825924277939,-1.24785152291535,0.78979142677823,-1.5799760298813,0.114112355966767,0.999857848737763
"PTDSS2",193.993983665687,-0.0583408579992711,0.154759272197616,-0.3769781103957,0.706189872264596,0.999857848737763
"RNH1",1.06268638450442,1.46193942788275,2.14436050008779,0.681760099490222,0.49539065812168,0.999857848737763
"LRRC56",13.5851358756944,-0.396788473186405,0.361204116612023,-1.09851592198935,0.271979268991828,0.999857848737763
"HRAS",0.103316505717114,-0.525490358188564,3.0414330302705,-0.17277722473535,0.862826539818964,0.999857848737763
"LMNTD2",19.1796817651139,0.529130686361298,0.432523125746901,1.22335813940022,0.221194456775503,0.999857848737763
"LMNTD2-AS1",0.309759165635857,1.73008420140733,3.03013675619148,0.570959115251893,0.568027357375639,0.999857848737763
"RASSF7",253.321673022164,0.00127939659508903,0.160895442238606,0.00795172676918774,0.993655506839553,0.999857848737763
"MIR210HG",7.29176812318509,-0.0213022261123508,0.656247532017211,-0.0324606571042953,0.974104690565959,0.999857848737763
"MIR210",0.0516582528585569,-0.204895908722381,3.0414330302705,-0.0673682131689605,0.946288573897463,0.999857848737763
"LOC143666",1.27851161622728,-0.977318062277572,1.24660603225253,-0.783983100508208,0.433050026517182,0.999857848737763
"PHRF1",147.208845700601,0.0310527780193907,0.154950402879688,0.200404629108979,0.841164139421082,0.999857848737763
"IRF7",68.4947166007478,0.134724066773434,0.241251534267788,0.558438176081777,0.576545210210425,0.999857848737763
"CDHR5",1716.94835946591,0.260608334687913,0.286451867095584,0.909780541248675,0.362938258637159,0.999857848737763
"DRD4",1.42255435760506,0.571002786093533,1.13237670168316,0.504251619840636,0.61408457036037,0.999857848737763
"DEAF1",697.091950076717,0.019886797520306,0.164339234983614,0.121010649235947,0.903682600313625,0.999857848737763
"TMEM80",203.287565495669,0.0194704719464912,0.155718407955447,0.125036417994088,0.900494719176318,0.999857848737763
"EPS8L2",2985.96262138925,0.0324292518072575,0.0699821338631119,0.463393297933591,0.643082481733465,0.999857848737763
"LOC105376509",0.507545329274492,-2.42429191550179,2.66995131501332,-0.907991056567148,0.363882946809228,0.999857848737763
"TALDO1",5619.61561154573,0.0582272626878814,0.125628205239003,0.463488772900212,0.643014060450279,0.999857848737763
"GATD1",1322.62195237344,0.0908954404054755,0.178856207803833,0.508204000976967,0.611310285289554,0.999857848737763
"LOC171391",31.4151716627608,-0.19201970156729,0.359664962324271,-0.533884925366088,0.593421152234499,0.999857848737763
"CEND1",1.35619762509189,1.7851956163136,1.69221049423604,1.05494890995789,0.291448691463586,0.999857848737763
"SLC25A22",866.524111696157,-0.0397724824405302,0.272453921721095,-0.145978748220201,0.883938165157871,0.999857848737763
"PANO1",21.1097109461887,-0.338111211585579,0.448007413637199,-0.754700036860071,0.450428984401448,0.999857848737763
"PIDD1",371.83639005131,0.0506654069396321,0.157163420436044,0.322374040976348,0.747169347666776,0.999857848737763
"RPLP2",28898.3665622686,0.0942257612603289,0.256244411528589,0.367718307292006,0.713083288318874,0.999857848737763
"SNORA52",7.69651999310544,0.200985494369749,0.720365377325249,0.279004933740732,0.780241038481114,0.999857848737763
"PNPLA2",800.980084598686,-0.0820148017434814,0.133777549360007,-0.613068501671925,0.539831046322643,0.999857848737763
"CRACR2B",247.067246427367,-0.126309131055632,0.246292282903616,-0.512842422696055,0.608061551974158,0.999857848737763
"CD151",7885.64624588803,0.0330129346191581,0.161898321798737,0.203911530721102,0.838422634180924,0.999857848737763
"POLR2L",2789.27307729494,0.0350503792056691,0.2218619102281,0.157982860463219,0.874470304470451,0.999857848737763
"TSPAN4",963.069907582949,-0.0389961336027806,0.17937566034605,-0.217399247632313,0.827897217481784,0.999857848737763
"CHID1",2145.40367998189,0.0545984877781164,0.111216691575178,0.490919906039555,0.623483097340293,0.999857848737763
"AP2A2",668.321904543432,0.0954317735940542,0.15135604435706,0.630511810740266,0.528359777884217,0.999857848737763
"MUC6",0.586176865970959,-1.67355511571799,2.29352046918319,-0.7296883277061,0.465580717464906,0.999857848737763
"LINC02688",0.0820074326193674,-0.525490358188563,3.0414330302705,-0.17277722473535,0.862826539818964,0.999857848737763
"MUC2",2.58659572225759,0.840231599109939,1.25398234566152,0.670050580868974,0.502825546734112,0.999857848737763
"MUC5B",4.14793687030354,0.461655261048402,0.864148418802338,0.534231447982316,0.593181413995472,0.999857848737763
"TOLLIP",2189.5701116794,0.0239654565025992,0.101485546535454,0.236146498893089,0.813318993159065,0.999857848737763
"LOC105376512",16.8588826464759,-0.469536002859164,0.350066135522518,-1.34127799068117,0.179830212910251,0.999857848737763
"TOLLIP-AS1",12.58160117988,0.129003475224261,0.454144648769627,0.284058120190908,0.776365840738185,0.999857848737763
"LINC02689",0.814446023344019,3.1963892586387,2.39638783237385,1.33383637467078,0.182257487088809,0.999857848737763
"BRSK2",974.38585010435,0.0464152203403,0.13814417477205,0.335991151395919,0.736877539154515,0.999857848737763
"LOC107984298",0.660804299552063,-1.34307113516188,1.81684292663792,-0.739233488745908,0.459765228817061,0.999857848737763
"LOC105376514",1.26040724349969,0.098018192549494,1.17277364486071,0.0835780996435466,0.933391879954226,0.999857848737763
"MOB2",755.695657787967,-0.11494951514918,0.164149367562533,-0.700273883817367,0.48375627824475,0.999857848737763
"DUSP8",24.4279160751764,-0.393599415389527,0.416719377838884,-0.944519108832285,0.344904441674643,0.999857848737763
"KRTAP5-AS1",0.0975482629975049,0.756890405344357,3.0414330302705,0.248859796619306,0.803469234716267,0.999857848737763
"KRTAP5-4",0.355910050673105,-0.843139439482846,3.0301117027618,-0.278253583428744,0.780817704628016,0.999857848737763
"KRTAP5-5",0.337964170323329,1.70702343371735,3.03105074594826,0.563178770925958,0.573313157155999,0.999857848737763
"LINC02708",0.101526274905908,0.756890405344357,3.0414330302705,0.248859796619306,0.803469234716267,0.999857848737763
"IFITM10",66.7359575537106,0.0991718715925007,0.234681575105792,0.42258056069291,0.672601312031375,0.999857848737763
"CTSD",9410.924543615,0.0700558717293694,0.140688952528305,0.497948633992955,0.618520247142128,0.999857848737763
"LOC105376517",4.03912018525661,0.314981214303053,0.84527152243464,0.372639093998826,0.709417072350116,0.999857848737763
"RPL36AP39",0.34005879754546,0.767906557209607,2.97110156009496,0.258458535219195,0.796053046088752,0.999857848737763
"LOC390029",0.287462663740607,1.07748633764463,3.0414330302705,0.354269295730245,0.723137075969436,0.999857848737763
"SYT8",0.929257626629367,1.571275173918,2.47704577005841,0.634334332013959,0.525862655467467,0.999857848737763
"MRPL23",6.24481716117634,0.212091401848206,0.611944644499855,0.346585926937148,0.728902420014501,0.999857848737763
"IGF2",1022.29290161161,-0.207457082999413,0.548201176944279,-0.378432392567628,0.705109408490345,0.999857848737763
"MIR483",0.0410037163096837,-0.204895908722381,3.0414330302705,-0.0673682131689606,0.946288573897463,0.999857848737763
"IGF2-AS",25.4267644661592,-0.920669428385496,0.523577010867246,-1.75842217911843,0.0786757020861968,0.999857848737763
"TH",0.0958208879135358,0.436294473044079,3.0414330302705,0.143450297508368,0.885934562022889,0.999857848737763
"ASCL2",453.606262718337,-0.0853147219717086,0.279787535595294,-0.304926814520838,0.760421892671636,0.999857848737763
"C11orf21",11.1644768786311,0.456719492168645,0.818165255404341,0.558224012999589,0.576691425428335,0.999857848737763
"TSPAN32",21.2715875940782,0.159877450260205,0.809161115056045,0.197584198357248,0.843370398954545,0.999857848737763
"CD81-AS1",4.62623134136778,0.445451232107539,0.667059104074241,0.667783753173935,0.504271638818421,0.999857848737763
"LOC105376520",0.56734460269123,-2.08792075292098,2.29690697317484,-0.909014068617244,0.363342699652938,0.999857848737763
"CD81",6530.93868182366,0.0804157731580697,0.138141545340143,0.582125912664894,0.560481872141081,0.999857848737763
