"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MST1",110.625873171427,-0.899216846193488,0.277497296912217,-3.24045263214922,0.00119340097918793,0.00662756187919768
"RNF123",530.987633396684,-0.389920823510807,0.15416938388537,-2.52917157534161,0.0114332120804029,0.0422287946413992
"AMIGO3",157.185469639623,0.364974187582246,0.247062239547677,1.47725604791102,0.139607014834677,0.293405675955742
"GMPPB",739.542713442688,0.0880980985388685,0.11666864906122,0.755113728047374,0.450180746835514,0.645635584726657
"IP6K1",1835.44666526604,0.147853328863664,0.0924370249377919,1.59950332632585,0.109708810103145,0.245348525469852
"PHF5EP",0.154226228022614,-0.735672478640096,4.0804728567969,-0.180290986966051,0.856924131093269,NA
"CDHR4",1.62499851785075,-0.360515061509366,2.1396996300124,-0.168488631045506,0.866198886927329,NA
"INKA1",8.10471922502072,-0.606986634831902,0.934395063535175,-0.649603854429023,0.515948142692434,0.700458841571921
"UBA7",38.9908135566514,-0.244361107542426,0.540596671443469,-0.45202111010034,0.651253774716112,0.803470464981486
"MIR5193",0,NA,NA,NA,NA,NA
"TRAIP",347.56680779336,0.166249560992765,0.148791647862945,1.11733127081098,0.26385270973312,0.45586013164002
"CAMKV",285.571321324175,0.041146936276311,0.197193772231842,0.208662453233738,0.834711752872855,0.911316432895757
"RN7SL217P",0,NA,NA,NA,NA,NA
"MST1R",202.947243714836,-0.787875200318893,0.193278228141259,-4.07637843069974,4.57425529475625e-05,0.000428656142289573
"LOC102724438",3.17719317396187,0.0838479207531719,1.65910199808691,0.0505381349970382,0.959693560884092,NA
"MON1A",278.653082304922,0.133720109005954,0.177657168844125,0.752686254520239,0.451638471773436,0.647147575180826
"RBM6",769.483157828189,0.156053487685792,0.132777686403355,1.17529904242893,0.239875097488885,0.428234539383689
"RBM5",747.852971054655,0.0942400848215035,0.128352307196875,0.734229768670632,0.46280871331319,0.656875781653712
"RBM5-AS1",0.362668124492482,2.09867801469685,4.03644318387687,0.519932504706072,0.603110619128618,NA
"SEMA3F-AS1",2.44600132752668,2.103036089754,1.74131214232108,1.20773067541513,0.227150874703965,NA
"LOC107986035",2.6165064392186,-0.141560356635846,1.65302340651717,-0.0856372366402879,0.931754796618636,NA
"SEMA3F",464.048121147619,0.113573193679094,0.148037256938399,0.767193313547775,0.442966587798716,0.638736174036911
"GNAT1",0,NA,NA,NA,NA,NA
"SLC38A3",105.386658201674,-1.50104776107445,0.677533200338885,-2.21546008420498,0.0267285011875209,0.0830025617736683
"GNAI2",2432.41622807818,-0.295668577449281,0.0825154370827409,-3.58319107190579,0.000339422136579738,0.00234398448925169
"MIR5787",0.302670127881305,-1.61619915665311,4.03913240239187,-0.400135225994581,0.689056920081298,NA
"SEMA3B-AS1",2.02731287706786,0.712718750617439,2.00349998411799,0.355736838665963,0.722037654054168,NA
"SEMA3B",178.592733882506,-0.756632173984919,0.512217617636335,-1.47716936695082,0.139630242968537,0.293417441126939
"MIR6872",0,NA,NA,NA,NA,NA
"LSMEM2",0.979259511671089,-0.768527577492184,2.84242588407933,-0.270377349783075,0.78686996365548,NA
"IFRD2",1326.98596832993,0.333204409594109,0.106913452313893,3.11658077054547,0.00182961552528837,0.00941567445497041
"HYAL3",131.708729002188,-0.202503139796204,0.249989960591647,-0.810045088678537,0.417914262048787,0.615789912640811
"NAA80",61.0034174746859,-0.260348669732793,0.332529709064958,-0.782933562432266,0.433666127306848,0.629563251286914
"HYAL1",229.637822614071,-0.725572465414544,0.18109526396467,-4.00657891062296,6.16045498143726e-05,0.000554507583861873
"HYAL2",829.412000035371,0.0510465812170003,0.104927238654386,0.486495040483622,0.626616220821672,0.786591643192235
"TUSC2",1335.60672530466,0.0499731007802716,0.120373542935386,0.41515020295694,0.678031950189557,0.82061131057567
"RASSF1",501.081202427305,0.122630488508595,0.157436487877466,0.778920377111306,0.436026619585301,0.631465713877676
"RASSF1-AS1",0,NA,NA,NA,NA,NA
"ZMYND10",6.26214608703824,2.03636646795388,1.1566840104747,1.76052098024434,0.0783195134453889,0.191068845246498
"NPRL2",332.949355544095,-0.301379647643634,0.155617434903178,-1.93667019271425,0.0527856716104138,0.141490084170095
"CYB561D2",436.410741995317,-0.245931970704407,0.168408979243719,-1.46032576059082,0.144200565434598,0.299953757096365
"TMEM115",800.49990863063,-0.411342041963083,0.109857069318825,-3.74433838908713,0.000180869752066173,0.00139168529063214
"CACNA2D2",4.635315798387,-1.43521373298937,1.24706315451413,-1.15087493988911,0.249783688842757,0.440003168227138
"LOC105377082",0,NA,NA,NA,NA,NA
"LOC105377083",0,NA,NA,NA,NA,NA
"C3orf18",29.6098526608556,-0.741644714860818,0.483736325243498,-1.53315902932759,0.125236676301957,0.270303981804367
"HEMK1",154.671771008679,-0.0762325656166957,0.223463306882355,-0.341141311655382,0.732997202351244,0.854004080555072
"CISH",38.8388783290169,0.550048101960328,0.414994560433563,1.32543448614283,0.185027085197372,0.357613027399821
"MAPKAPK3",1222.65007763053,0.12828707693821,0.101175885605555,1.26796099851649,0.20481187884066,0.38481060501151
"LINC02019",0.154226228022614,-0.735672478640096,4.0804728567969,-0.180290986966051,0.856924131093269,NA
"DOCK3",10.0281235425953,2.15227212401461,0.941727326708561,2.28545149213948,0.0222863676507981,0.0718682458461989
"MIR4787",0,NA,NA,NA,NA,NA
"ZNF652P1",0,NA,NA,NA,NA,NA
"ST13P14",0,NA,NA,NA,NA,NA
"MANF",2008.47192053689,0.0571047574652807,0.090336141142434,0.632136338159972,0.527297792147042,0.710017569150746
"RBM15B",1397.2058554148,0.0109782250411234,0.0898659699407753,0.122162204985473,0.90277055826398,0.949675140710918
"DCAF1",1267.73448025476,0.280786182008415,0.102438172308498,2.7410307669568,0.00612467721303657,0.0254197014604907
"LOC105377085",0.308452456045228,-1.63993281452271,4.03700748503851,-0.406224863491198,0.684577386925423,NA
"RAD54L2",638.751678361722,0.548143910706462,0.131159900868279,4.17920345378235,2.92531895886058e-05,0.000289798115668552
"LOC105377086",0.348537681550434,2.04886126304404,4.04092357296047,0.507027966763301,0.612135195737358,NA
"TEX264",889.698540322531,-0.206599777909961,0.118737543583471,-1.73997011960016,0.0818642648573992,0.197430366616678
"GRM2",2.05313344220649,1.22195527496705,1.98467110770177,0.615696611002749,0.538094774458962,NA
"LOC105377087",0.308138931133379,-1.63865629677628,4.03712091490858,-0.405897254829531,0.684818095181176,NA
"IQCF6",0,NA,NA,NA,NA,NA
"IQCF4P",0,NA,NA,NA,NA,NA
"IQCF3",0,NA,NA,NA,NA,NA
"IQCF2",0.174268840775217,1.18788087300239,4.0804728567969,0.291113533820896,0.770964489488144,NA
"IQCF5-AS1",0,NA,NA,NA,NA,NA
"IQCF5",0,NA,NA,NA,NA,NA
"IQCF1",0,NA,NA,NA,NA,NA
"RRP9",796.523102633863,0.413311362261478,0.11149361325374,3.70704070125393,0.000209695252133999,0.00157276164094914
"PARP3",61.1790815284486,-0.180329737072806,0.339182663534143,-0.531659652630369,0.594961741263389,0.763567879383604
"GPR62",0,NA,NA,NA,NA,NA
"PCBP4",479.261013602323,-0.00995729813050582,0.132296259388913,-0.0752651524427025,0.940003747133536,0.968633539855092
"ABHD14B",1006.095540013,-0.424328702373824,0.149593740477029,-2.83654049307619,0.00456051949087266,0.0200001912744647
"ABHD14A",138.187644083104,-0.351153207571349,0.242078355546252,-1.45057663986096,0.146897783990269,0.303855309340051
"ABHD14A-ACY1",0,NA,NA,NA,NA,NA
"ACY1",3.21445698678485,1.33264434432341,1.59254321128906,0.836802627945474,0.402703519996103,NA
"RPL29",14998.2132016026,-0.365389482710571,0.0850546769683195,-4.29593639920199,1.73957455897164e-05,0.000187026740212952
"LOC105377088",0.616277862266757,-2.63912376432815,3.97245648205627,-0.664355613774291,0.506462734277126,NA
"DUSP7",146.202458890975,0.518828719916655,0.223053361147028,2.32602959779953,0.0200169717693545,0.0660080168728685
"LINC00696",0,NA,NA,NA,NA,NA
