"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","difflabel"
"TMEM150C",0,NA,NA,NA,NA,NA,"NO",NA
"RPL7AP26",0,NA,NA,NA,NA,NA,"NO",NA
"RPS6P6",0.217579757461274,1.90962687844689,4.05481091811891,0.470953372921466,0.637674032345537,NA,"NO",NA
"LOC442113",0.217579757461274,1.90962687844689,4.05481091811891,0.470953372921466,0.637674032345537,NA,"NO",NA
"LINC00575",0,NA,NA,NA,NA,NA,"NO",NA
"SCD5",55.2976944572132,-0.97804959286835,0.410165126717356,-2.38452644839872,0.0171011186982373,0.113799631892958,"NO",NA
"MIR575",0,NA,NA,NA,NA,NA,"NO",NA
"SEC31A",2176.38282859029,-0.575314531615086,0.298330182938952,-1.92844896197719,0.0537993067439632,0.213445506686154,"NO",NA
"THAP9-AS1",704.088116933894,-0.397114528380742,0.210855165021315,-1.88335214999641,0.0596526604043652,0.226116146489252,"NO",NA
"SNORD143",1.12315639198856,-0.473962662538748,2.45849925893698,-0.192785359123387,0.847127070123414,NA,"NO",NA
"SNORD144",1.15507105912862,0.178460857789576,2.51346825530822,0.0710018347805599,0.943396295234492,NA,"NO",NA
"THAP9",114.542502104433,-0.223417342650815,0.34554734513655,-0.646560726902783,0.517916282573585,0.729493533177463,"NO",NA
"LIN54",795.29600272363,-0.358019415289548,0.325085284842951,-1.10130920094555,0.270762108046316,0.515820656133961,"NO",NA
"COPS4",1316.76417054938,-0.388855469716266,0.209367048797356,-1.85729068614152,0.0632698087982495,0.232916996853333,"NO",NA
"PLAC8",1321.70520509197,-0.0143711722329154,0.245029439895352,-0.0586507982022614,0.95323024917494,0.979515576820122,"NO",NA
"LOC391674",1.21622957075418,0.303340173083704,3.12777245445732,0.0969828136479111,0.922740042826812,NA,"NO",NA
"COQ2",800.051375002518,0.00552681502032481,0.256138939143793,0.0215774104429398,0.982785053191642,0.99277971170536,"NO",NA
"HPSE",28.5889017937317,0.295370454184477,0.519950751129405,0.568073906120707,0.569984785189515,0.767010139598165,"NO",NA
"LOC105377313",0,NA,NA,NA,NA,NA,"NO",NA
"LOC100287427",0,NA,NA,NA,NA,NA,"NO",NA
"HELQ",290.059274735073,0.418375774768644,0.226254888307324,1.84913474311485,0.0644383586989475,0.235499836854563,"NO",NA
"MRPS18C",628.689352412065,-0.163270925913959,0.291674095310235,-0.55977177452217,0.575635118321115,0.770677838421718,"NO",NA
"ABRAXAS1",264.205364151039,-1.2555998254304,0.448472153030115,-2.79972751250419,0.00511457602999105,0.0581181099559668,"DOWN",NA
"SLC25A14P1",3.5218504376336,1.70724729745448,1.530944811691,1.11515926924155,0.264782176774329,0.509548472264684,"NO",NA
"GPAT3",580.862042242817,-1.15820864433417,0.300692735443554,-3.85180121703201,0.000117252187630343,0.00522590273473378,"DOWN",NA
"LOC105377315",0,NA,NA,NA,NA,NA,"NO",NA
"LOC101928978",19.3451469181618,0.646615697833949,0.611595075290806,1.05726112579715,0.290392429663618,0.535440726813858,"NO",NA
"LOC152845",2.42432003118643,4.99578672489586,2.08740194034548,2.39330367014463,0.0166974149216037,NA,"UP",NA
"NKX6-1",1.01234773156889,1.37811489570764,2.91213415069822,0.473231940697932,0.636047712305575,NA,"NO",NA
"LOC102723338",0.852812712954748,-2.98700815146906,3.46062717070175,-0.863140697951391,0.388060113988755,NA,"NO",NA
"CDS1",788.674201741117,-0.797556132937823,0.28604538461,-2.78821535269736,0.0052999299685574,0.0592263311063572,"NO",NA
"WDFY3",1132.18597491781,-0.0429649613700567,0.404059183113563,-0.106333337208132,0.91531788225243,0.962323348651781,"NO",NA
"WDFY3-AS2",19.6398255593159,0.0198263558723996,0.625202431559552,0.0317118982134206,0.974701806257659,0.98925410509006,"NO",NA
"RN7SKP48",0,NA,NA,NA,NA,NA,"NO",NA
"ARHGAP24",0.285533781884784,-1.40488920766871,4.03408420276199,-0.348254805069967,0.727648832172071,NA,"NO",NA
